iter	Logloss
0	0.6925707019
1	0.6920232641
2	0.6915118066
3	0.6909816064
4	0.6904890571
5	0.6899844354
6	0.6894935362
7	0.6890224138
8	0.6885579331
9	0.6881269973
10	0.687695518
11	0.6872901464
12	0.6868676886
13	0.6864736233
14	0.6861025199
15	0.6857310233
16	0.6853682301
17	0.6850190274
18	0.6846687956
19	0.684325931
20	0.683993539
21	0.68368562
22	0.6833615585
23	0.6830580184
24	0.6827544698
25	0.6824455742
26	0.6821611591
27	0.6818907789
28	0.681634586
29	0.6813675883
30	0.6811012264
31	0.680855682
32	0.680623832
33	0.6803900174
34	0.6801703153
35	0.6799521761
36	0.6797321238
37	0.6795188703
38	0.6793159655
39	0.6791161825
40	0.6789232951
41	0.6787202157
42	0.6785389457
43	0.678373939
44	0.6782019958
45	0.6780402983
46	0.6778684679
47	0.6777038291
48	0.6775381319
49	0.6773736569
50	0.6772176697
51	0.6770775617
52	0.6769305285
53	0.6767650659
54	0.6766181067
55	0.6764837471
56	0.6763578843
57	0.6762216397
58	0.6760827785
59	0.6759557778
60	0.6758455463
61	0.6757296925
62	0.6756088919
63	0.6755027198
64	0.6753809355
65	0.6752583388
66	0.6751420991
67	0.6750317404
68	0.6749251922
69	0.674812707
70	0.6747111089
71	0.674614696
72	0.6745180208
73	0.6744097763
74	0.6743284023
75	0.67423226
76	0.674146495
77	0.6740617778
78	0.6739814989
79	0.6739017669
80	0.6738169479
81	0.6737331444
82	0.6736522407
83	0.6735773727
84	0.6735033352
85	0.6734310485
86	0.6733628934
87	0.6732905624
88	0.6731982454
89	0.6731079138
90	0.6730355507
91	0.6729664058
92	0.6729082019
93	0.6728338302
94	0.6727599479
95	0.6727019429
96	0.6726215703
97	0.6725634554
98	0.6724979197
99	0.672432632
100	0.6723707178
101	0.6723195742
102	0.6722563497
103	0.6721921663
104	0.6721399679
105	0.6720827037
106	0.6720207615
107	0.6719646249
108	0.6718985602
109	0.671846948
110	0.6717781069
111	0.6717217687
112	0.6716580799
113	0.6716130339
114	0.6715637327
115	0.6715156544
116	0.6714728104
117	0.671420906
118	0.6713663304
119	0.6713115702
120	0.671258175
121	0.6712107214
122	0.671165071
123	0.6711221648
124	0.6710754459
125	0.6710305152
126	0.6709792854
127	0.6709344274
128	0.6708967933
129	0.6708512109
130	0.6708138016
131	0.6707692688
132	0.6707158726
133	0.6706839165
134	0.6706456174
135	0.6706089147
136	0.6705516722
137	0.6705150601
138	0.6704823293
139	0.6704410368
140	0.6704002192
141	0.6703608895
142	0.6703121692
143	0.6702760087
144	0.6702324679
145	0.6702040119
146	0.6701598747
147	0.6701222688
148	0.6700765251
149	0.6700498292
150	0.6700091203
151	0.6699796393
152	0.6699228099
153	0.6698960916
154	0.6698530935
155	0.669824807
156	0.6697844122
157	0.6697344941
158	0.6697121777
159	0.669669215
160	0.6696416519
