iter	Passed	Remaining
0	343	686637
1	377	377040
2	404	269098
3	432	216064
4	473	188994
5	526	174916
6	559	159322
7	600	149583
8	631	139627
9	674	134141
10	706	127741
11	736	121937
12	765	117019
13	793	112557
14	824	109114
15	854	105983
16	885	103346
17	915	100856
18	944	98465
19	973	96421
20	1001	94410
21	1035	93122
22	1070	91986
23	1100	90618
24	1130	89343
25	1172	88985
26	1224	89493
27	1266	89190
28	1299	88344
29	1332	87468
30	1390	88325
31	1418	87211
32	1457	86884
33	1488	86098
34	1526	85720
35	1557	84975
36	1587	84234
37	1629	84117
38	1680	84519
39	1722	84426
40	1762	84201
41	1805	84152
42	1839	83712
43	1868	83076
44	1898	82475
45	1926	81828
46	1962	81543
47	2005	81551
48	2034	81009
49	2068	80668
50	2097	80159
51	2126	79672
52	2153	79122
53	2181	78605
54	2209	78131
55	2240	77772
56	2269	77375
57	2299	77000
58	2332	76724
59	2363	76427
60	2394	76099
61	2422	75709
62	2450	75329
63	2478	74987
64	2504	74550
65	2537	74368
66	2587	74663
67	2637	74948
68	2678	74965
69	2708	74666
70	2768	75223
71	2808	75192
72	2838	74921
73	2867	74644
74	2899	74427
75	2928	74136
76	2956	73835
77	2986	73590
78	3013	73288
79	3045	73090
80	3105	73579
81	3165	74052
82	3197	73842
83	3237	73851
84	3298	74304
85	3367	74954
86	3403	74831
87	3434	74621
88	3466	74427
89	3495	74172
90	3527	73999
91	3557	73785
92	3589	73604
93	3617	73354
94	3647	73135
95	3674	72870
96	3702	72642
97	3734	72470
98	3763	72266
99	3793	72071
100	3823	71887
101	3853	71713
102	3881	71478
103	3908	71255
104	3936	71052
105	3963	70823
106	3993	70659
107	4026	70543
108	4056	70367
109	4086	70208
110	4122	70150
111	4153	70009
112	4182	69839
113	4233	70030
114	4263	69890
115	4292	69719
116	4323	69584
117	4351	69404
118	4401	69572
119	4431	69432
120	4459	69248
121	4488	69092
122	4518	68952
123	4556	68931
124	4597	68957
125	4626	68803
126	4667	68839
127	4698	68708
128	4735	68676
129	4782	68787
130	4812	68656
131	4841	68508
132	4867	68329
133	4897	68196
134	4929	68098
135	4972	68155
136	5030	68401
137	5062	68305
138	5093	68191
139	5128	68137
140	5188	68406
141	5220	68303
142	5253	68216
143	5284	68104
144	5311	67951
145	5352	67975
146	5389	67939
147	5417	67786
148	5446	67662
149	5478	67563
150	5509	67462
151	5540	67357
152	5573	67285
153	5622	67395
154	5651	67274
155	5680	67151
156	5719	67139
157	5748	67019
158	5782	66954
159	5813	66856
160	5843	66746
